dâ	che
lu	il
na	per
li	della
cchiù	presidente
sunnu	commissione
cu	una
comu	delle
gutti	sono
ca	dei
u	non
chi	emissioni
distanza	del
dû	questo
fu	le
pi	alla
granni	nella
ti	biocarburanti
macari	essere
italia	rinnovabili
li	il
dâ	per
ca	una
dû	non
na	le
pi	della
n	commissione
nu	presidente
dî	dei
cchiù	con
o	stati
cu	obiettivi
comu	alla
chi	signora
sunnu	emissioni
fu	rinnovabili
supra	membri
ntô	europea
pruvincia	più
sò	quanto
diga	suo
bona	vi
ben	ha
massa	riguarda
sta	mi
via	abbiamo
fora	molto
lu	sulla
era	sono
la	questo
un	del
da	perché
ti	sulla
massa	delle
lu	quello
da	essere
la	riguarda
un	questo
lu	per
ntô	membri
pruvincia	al
cchiù	della
sunnu	presidente
assai	il
granni	che
nta	un
na	alla
pi	una
dî	gli
pò	non
cu	stati
li	dei
supra	sono
dû	le
dâ	signora
ca	ha
nu	in
fu	del
comu	commissione
distanza	alla
nni	emissioni
fu	una
capitali	un
ntonzi	due
gutti	questo
assaimeteoruluggìa	timori
dâ	dei
facennu	documenti
granni	il
marzu	punti
chi	nutro
na	del
nnividuazzioni	presidente
cumprinsòriu	biocarburanti
talianu	essenzialmente
accamora	europea
abbitanti	le
li	desidero
lu	per
pruvincia	non
spugghiatu	violenza
addiventa	in
comu	delle
cu	ringrazio
chitarra	nella
sunnu	che
pi	della
havi	commissione
paisi	sono
	gli
	nel
	anche
	siamo
	essere
	delle
	dobbiamo
	tutti
	sembra
	vorrei
	abbiamo
	sono
	situazione
	ho
	perché
	del
	anche
	nel
	dobbiamo
	mi
	ha
	gli
dû
ca
ntô
nutanna
lannu
foru
principali
cchiù
