Top words for class  0	Top words for class  1
distanza	alla
nni	emissioni
fu	una
capitali	un
ntonzi	due
gutti	questo
assaimeteoruluggìa	timori
dâ	dei
facennu	documenti
granni	il
marzu	punti
chi	nutro
na	del
nnividuazzioni	presidente
cumprinsòriu	biocarburanti
talianu	essenzialmente
accamora	europea
abbitanti	le
li	desidero
lu	per
pruvincia	non
spugghiatu	violenza
addiventa	in
comu	delle
cu	ringrazio
chitarra	nella
sunnu	che
pi	della
havi	commissione
paisi	sono
dû	
ca	
ntô	
nutanna	
lannu	
foru	
principali	
cchiù	
