1	是 此 途徑 的 命名 而且 是 由 腦室 下 區 嗅神經 束 和 嗅球 所 組成	[('的', 44.9419), ('所', 37.2529), ('是', 33.7958), ('途徑', 31.8885), ('命名', 28.9083)]
1	接著將 鴨過 滾水 約 到 分鐘 接著 掛起 晾乾	[('晾乾', 76.9496), ('滾水', 63.4789), ('掛起', 52.0945), ('接著將', 37.3125), ('鴨過', 30.5772)]
0	到 年 现在 的 成为 县级 公路	[('成为', 8.1062), ('县级', 2.5034), ('年', 2.265), ('到', 1.9073), ('的', 1.4305)]
1	年 月 日起 台北 松山 與 上海 虹橋 之間 的 直飛 航線 開始 飛行	[('與', 101.7451), ('航線', 45.1803), ('虹橋', 41.9021), ('飛行', 35.3456), ('直飛', 33.915)]
1	這個 稱為 臺北盆地 的 地區 在 十八世紀 之前 是凱 達加 蘭族 部落 的 所在地	[('臺北盆地', 73.9098), ('這個', 65.8035), ('所在地', 61.9888), ('十八世紀', 61.8696), ('是凱', 61.3928)]
0	或者 只是 需要 一个 机会 说 我 爱 你 并 被 人 听到	[('爱', 2.5034), ('一个', 1.9073), ('听到', 0.7153), ('机会', 0.596), ('说', 0.4768)]
1	其中 硫酸鹽 成分 的 作用 為 界面 活性劑 基本上 就 像是 強力 肥皂 能 輕鬆 將 油脂 包覆 住	[('硫酸鹽', 45.1207), ('為', 39.5179), ('活性劑', 32.2461), ('包覆', 26.7625), ('肥皂', 25.9876)]
1	該隊 於 年 月 日 更換 為 現在 的 名稱	[('為', 157.1178), ('更換', 109.6725), ('年', 82.5524), ('日', 75.7575), ('月', 59.4854)]
1	這是 本週 福克斯 電視網 收視率 第二 高 的 節目 僅次於 檔案	[('電視網', 86.6055), ('僅次於', 75.6383), ('福克斯', 66.8764), ('收視率', 56.386), ('這是', 52.2137)]
0	秘鲁 的 哈斯 鳄 梨 是 季节性 供应 的 会 在 每年 的 月 至 月 在 总部 位于 华盛顿 特区 的 秘鲁 鳄 梨 委员会 的 支持 下 推广 上市	[('鳄', 0.3576), ('秘鲁', 0.2384), ('位于', 0.2384), ('推广', 0.2384), ('的', 0.1192)]
0	年 石家庄 达到 亿元 人民币 约合 亿美元 比 上年 增长	[('石家庄', 4.7684), ('比', 3.8147), ('达到', 3.5763), ('约合', 2.5034), ('亿美元', 2.265)]
1	在 目前 的 軟體 研發 文化 中 專責 測試 的 組織 會 和 研發 團隊 區分 開來	[('區分', 156.045), ('會', 87.9765), ('測試', 55.1939), ('中', 39.4583), ('的', 37.8489)]
0	菠萝 蛋白酶 对 部分 用户 而言 可能 不 安全 例如 孕妇 过敏 患者 或 接受 抗凝 治疗 的 患者	[('对', 22.5306), ('用户', 10.848), ('治疗', 9.8944), ('过敏', 8.1062), ('孕妇', 6.9141)]
1	以此 想法 為 基礎 開始 設計 由 重力 導引 的 折返 鐵道 雲霄飛車 並於 年 在 紐約 布魯克林 區的 康尼島 正式 營運 遊客 要 先 爬 到 頂端 平台 然後 坐上 像 長椅 一般 的 的 車廂 直接 向下 俯衝 長達 英尺 公尺 的 軌道 來到 另 一座 高塔 的 頂端 車廂 會 在 這裡 切換 到 返程 軌道 上 讓 遊客 沿著 原路 歸返	[('重力', 7.1526), ('鐵道', 6.0797), ('紐約', 6.0797), ('並於', 5.6028), ('導引', 5.4836)]
1	她 的 雙親 和 祖父母 都 是 少數 民 白族 在 鄰村 務農	[('的', 53.2866), ('在', 45.6572), ('鄰村', 41.9617), ('務農', 38.0278), ('少數', 31.8885)]
0	该 气压 在 几天 内 缓慢 地 向东 东南 方向 移动 因为 风暴 的 整体 结构 因 昼夜 变化 和 强风 切变 而 波动	[('该', 0.3576), ('在', 0.2384), ('缓慢', 0.2384), ('东南', 0.1192), ('因为', 0.1192)]
